member,organization,program,ein,amount,agency,purpose
Wong,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Memorial Day Parade - Council District 30,383853340,6000,DVS,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Schulman,Alphapointe,General Programming for the Visually Impaired,440552486,10000,DYCD,To support Alphapointe's vision rehabilitation services as well as employment and overall skill development programming.
Menin,"Alvin Ailey Dance Foundation, Inc.",Council District 5,132584273,5000,DCLA,Funds will support Physical dance choreography with seniors at Stanley Isaacs and other locations within Council District 5.
Wilson,"Alvin Ailey Dance Foundation, Inc.",Dance Classes for Seniors - Manhattan Plaza,132584273,5000,DCLA,Funds will support Actors Fund AileyDance Classes for Seniors at Manhattan Plaza.
Brewer,"Alvin Ailey Dance Foundation, Inc.",Youth Dance Program,132584273,5000,DCLA,Funds will support dance programming for public school children in Council District 6.
Ung,Alzheimers Disease and Related Disorders Association,"New York City, Inc.",133277408,5000,DFTA,"Funding to support CaringKind's community outreach, education, and awareness of the MAWSP program in Council District 20."
Salaam,Amadou Ly Foundation,,394965900,10000,DYCD,Funds will support workforce training and rapid-response legal services that help immigrant New Yorkers transition into stable employment and protect families during immigration emergencies.
Menin,American Composers Orchestra,Sonic Sparking Programming,132838450,5000,DCLA,Funds will be used to support Sonic Sparking programming for after school program or during school hours music program.
Joseph,"American Council of Minority Women, Inc.",Council District 40,270861591,6000,DYCD,"Funding will support food distribution, health seminars, and community events in Council District 40."
Narcisse,"American Debate League, Inc.",,471624385,10000,DYCD,"Funds will be used to provide youth speech, debate, leadership programs and activities throughout the year and summer for school district 17, 18 and 22."
Williams,"American Debate League, Inc.",,471624385,5000,DYCD,Funding to support debate program in Council District 27. Page 29 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
