year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Gibson,"Gambian Society in New York, Inc.",,133904936,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Gibson,"Garifuna Coalition USA, Inc.",,223890531,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Barron,"George Walker, Jr. Community Coalition, The",,113341395,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,Goddard Riverside Community Center,SRO Law Project,131893908,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levine,Goddard Riverside Community Center,SRO Law Project,131893908,6000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Chin,"God's Love We Deliver, Inc.",,133366846,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Cumbo,"God's Love We Deliver, Inc.",,133366846,2500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Torres,"God's Love We Deliver, Inc.",,133366846,15000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Matteo,Grace Foundation of New York,,134131863,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,Wills Greater Bethel Community Development Corp.,,320000557,35000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Reynoso,Greater Ridgewood Restoration Corporation,,112382250,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Crowley,Greater Woodhaven Development Corporation,,112508190,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Deutsch,"Guardians of the Sick, Inc.",,116003433,20000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Greenfield Guardians of the Sick, Inc.",,116003433,10000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Williams,"Haitian American Business Network, Inc.",,470939800,13500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,Harlem Dowling Westside Center for Children and Family Services,,133030378,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,Harlem Mother's Stop Another Violent End (S.A.V.E.),,260847222,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Dickens,"Harvest Home Farmer’s Market, Inc.",,061800512,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Mealy,Highland Park Community Development Corporation,,113462888,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Mark-Viverito,"Hispanic Federation, Inc.",,133573852,30000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Rodriguez,"Hispanic Federation, Inc.",,133573852,50000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Cumbo,"Hollaback, Inc.",,273199988,4500,,
