member,organization,program,ein,amount,purpose
Paladino,"Catholic Charities Neighborhood Services, Inc.",Bayside Senior Center,112047151,5000,"Funding will be used to support educational/recreational & health promotion activities, transportation services and to provide general support to program operation for the Bayside Senior Center in Council District 19."
Caban,"Catholic Charities Neighborhood Services, Inc.",Dellamonica Senior Center,112047151,30000,Funds will be used to defray the cost of operating the Dellamonica Senior Center in Astoria. Appendix A: Aging Discretionary Page 5 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Louis,"Catholic Charities Neighborhood Services, Inc.",Glenwood Senior Center,112047151,10000,"Funds will be utilized to support CNS Glenwood Senior Center to enhance and subsidize the services due to increased needs of the elderly as well as educational/recreational & health promotion activities, enhance virtual program."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Howard Beach Senior Center,112047151,5625,"Funds will support the general operations of the Howard Beach Senior Center, as well as the Center's educational, recreational, health and other programs, including transportation needs for seniors."
Restler,"Catholic Charities Neighborhood Services, Inc.",Northside Senior Center,112047151,5000,To support the CCNS Northside Senior Center.
Adams,"Catholic Charities Neighborhood Services, Inc.",Ozone Park Older Adult Center,112047151,5000,"Funds will support educational, recreational and wellness activities for the seniors and to assist with the general costs of the center's operation."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Ozone Park Senior Center,112047151,5625,"Funds will support the Ozone Park Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Seaside Senior Center,112047151,5625,"Funds will support the Seaside Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Lee,"Catholic Charities Neighborhood Services, Inc.",Senior Programming,112047151,26000,"Funds are to be used for Council District 23 seniors, specifically in support of educational and health promotion activities and to subsidize increased meals cost and transportation and to provide general support to program operations."
Restler,"Catholic Charities Neighborhood Services, Inc.",St. Charles Jubilee Older Adult Center,112047151,7500,To support CCNS St. Charles Jubilee Senior Center.
Narcisse,"Catholic Charities Neighborhood Services, Inc.",The Bay Older Adult Center,112047151,15000,"Funding to support senior programming, services and activities in Council District 46 at The Bay Older Adult Center."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Woodhaven- Richmond Hill Senior Center,112047151,5625,"Funds will support the Woodhaven-Richmond Hill Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Hanks,Catholic Charities of Staten Island,Anderson Neighborhood Senior Center,135562286,10000,Funding will support the CYO program and senior services at Anderson Neighborhood Senior Center.
Hanks,Catholic Charities of Staten Island,West Brighton Senior Center,135562286,15000,Funding will provide programs and services at the West Brighton Senior Center.
Farias,"CenterLight Health System, Inc.",NORC Program - Council District 18,133323765,15000,Funding for the NORC Program in Parkchester in Council District 18.
Caban,"Central Astoria Local Development Coalition, Inc.",Senior Services,112652331,7000,Funds will be used to provide counseling and case work assistance to local seniors.
Ariola,"CHAZAQ Organization USA, Inc.",Senior Programming,462148352,10000,Funds will be used for senior programming throughout Council District 32.
Aviles,"Chinese American Planning Council, Inc.",Brooklyn Senior Center,136202692,40000,"Funding will be used to enhance CPC Brooklyn Senior Center senior program, including case assistance, support services, ESL classes, exercise activities to promote a healthy and active lifestyle, arts and culture activities. Appendix A: Aging Discretionary Page 6 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Narcisse,"Chinese American Planning Council, Inc.",Constituent Services - Council District 46,136202692,10000,"Funding to provide culturally responsive outreach, services and recreational activities to seniors in the 46th Council District."
Ung,"Chinese American Planning Council, Inc.",Nan Shan Senior Citizens Center,136202692,19000,"To support Nan Shan Senior, including congregate lunch, case assistance, support services, ESL classes, exercise activities to promote a healthy and active lifestyle, arts and culture activities, and recreation programming for seniors."
Brooks-Powers,CityMeals on Wheels,Council District 31,133634381,5000,"Funding will provide emergency meals to Council District 31 residents in cases of inclement weather, specific localized emergencies, or city-wide crises."
Brannan,CityMeals on Wheels,Council District 43,133634381,5000,To support Meals on Wheels operation in Council District 43.
Narcisse,CityMeals on Wheels,Emergency Food - Council District 46,133634381,5000,Funding to support emergency meals for seniors in Council District 46.
Powers,CityMeals on Wheels,Emergency Meals Program,133634381,5000,Funding will support nutritious meals to homebound elderly in Council District 4.
Hanif,Coalition of Institutionalized Aged and Disabled,,133124614,5000,"To provide resident rights trainings, conducted with Mobilization for Justice Lawyers; handling individual and facility-wide complaints of residents; and organizing resident councils and food committees."
