member,organization,program,ein,amount,purpose
Osse,"Fort Greene Council, Inc.",Stuyvesant Heights Older Adult Club,112300840,5000,Funds will support Stuyvesant Heights Older Adult Club programming and services.
Barron,"Fort Greene Council, Inc.",Teresa Moore Senior Center,112300840,25000,Funding to support operating expense costs for senior programming at Teresa Moore Senior Center.
Powers,"Fund for the City of New York, Inc.",Stonewall Community Development Corporation,132612524,5000,Funding will support the LGBTQ Stonwall Village Senior Housing Project.
Sanchez,"Fundacion de Ayuda a las Familias y Envejecientes, Inc.",Council District 15,853130678,10000,Funds will be used to support senior community programming in Council District 15.
Ariola,"Giving Alternative Learners Uplifting Opportunities, Inc.",,050615968,5000,Funds will support equestrian lessons and therapeutic riding for older adults.
Brewer,Goddard Riverside Community Center,Lincoln Square Neighborhood Center - Adult Center,131893908,20000,Funds will be used for programming and services for the Adult Center at Lincoln Square Neighborhood Center. Appendix A: Aging Discretionary Page 10 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Brewer,Goddard Riverside Community Center,West 88th Street Senior Center,131893908,20000,Funds will support programming at West 88th Street Senior Center.
Stevens,"God's Love We Deliver, Inc.",Home-Delivered Meals - Council District 16,133366846,10000,"Funds will be used to support the provision of home-delivered meals to seriously ill people, their children (to age 18) and their senior caregivers in Council District 16."
Rivera,"Grand Street Settlement, Inc.",Senior Services - Council District 2,135562230,20000,Funds will support Grand Street Settlement's senior programs in Council District 2.
Brooks-Powers,Greater Bethel Community Development Corporation,Council District 31,320000557,10000,The funding will support district based senior services in Council District 31.
Bottcher,"Greenwich House, Inc.",,135562204,6000,"Funds will be used to provide workforce services, furnishing space, outreach and wraparound services."
Marte,"Greenwich House, Inc.",Independence Plaza Older Adult Center,135562204,10000,"Funding to provide a comprehensive range of social, cultural, and wellness services at the Independence Plaza Older Adult Center."
Marte,"Greenwich House, Inc.",Music School Older Adult Choral & Songwriting Classes,135562204,10000,"Funding will be used to cover program costs associated with the Music School, including teachers and supplies."
Hudson,"GRIOT Circle, Inc.",Health & Wellness - District 35,113364328,10000,"Funds will support GRIOT’s core programs, including their Buddy 2 Buddy peer caregiver program for LGBTQ elders of color."
Hanif,"Guardians of the Sick, Inc.",,116003433,5000,To support seniors in and around District 39 who are holocaust survivors with kosher food provision and other services.
Louis,"Haitian Centers Council, Inc.",Council District 45,112648501,5000,"Funds will be used to offer year-round seniors services through free weekly cardio fitness classes, improving the quality of life seniors of color through ongoing culturally- appropriate physical activity and nutritional programs."
Marte,"Hamilton-Madison House, Inc.",City Hall Older Adult Center,135562412,17000,"These funds will support the City Hall Older Adult Center that serves a majority Asian- American, Chinese-speaking senior population."
Marte,"Hamilton-Madison House, Inc.",Senior Center Programs & Enhancements,135562412,25000,"To support educational and recreational programs for seniors, virtually and in person."
Paladino,"HANAC, Inc.",Angelo Petromelis College Point Senior Center,112290832,20000,"The funds will support operational costs, purchase kitchen AC unit, activities/programming for seniors at the Angelo Petromelis Senior Center in Council District 19."
Caban,"HANAC, Inc.",Douris Tower,112290832,22000,Funds will be used to defray operating expenses of George Douris Tower.
De La Rosa,"HANAC, Inc.",Hellenic Senior Program - St. Spyridon,112290832,10000,To support senior programming at St. Spyridon Church.
